題號,題目,選項1,選項2,選項3,選項4,答案
1,《氣候變遷綱要公約》(UNFCCC) 附件二締約國名單係指下列哪些國家？,經濟合作與發展組織(OECD)成員,已工業化和正在朝市場經濟過渡的國家,聯合國成員國,貧窮落後之國家,1
2,我國推動綠色金融行動方案 3.0，針對資料面向之推動措施內容，下列何者不在其中？,建置企業 ESG 資料平台,推動個別金融業辦理氣候變遷壓力測試,統計因應氣候變遷之承保情形及永續保險商品數據,擴充上市櫃公司 ESG 資訊平台,2
3,政府間氣候變遷專門委員會(IPCC)第六次評估報告，第三工作小組於 2022 年 4 月 4 日發布《氣候變遷 2022：減緩氣候變遷》(Climate Change 2022：Mitigation of Climate Change)，其主要探討以下哪個議題？,氣候變遷對世界的影響,減緩氣候變遷的進展和承諾進行最新的全球評估,強調氣候變遷、人類社會、生態系統之間的互動,全球暖化,2
4,我國推動上市櫃公司永續發展行動方案，推動薪酬合理化，鼓勵高階薪酬與什麼做連結？,鼓勵高階薪酬與工作績效連結,鼓勵高階薪酬與 ESG 績效連結,鼓勵高階薪酬與減碳績效連結,鼓勵高階薪酬與業務推廣績效連結,2
5,永續發展目標指南的五大流程考慮旨在確保什麼？,提高員工的工作效率,實現 SDGs 的最佳效果，促進綜合性、整體性和可持續性,縮短企業的獲利時間,組織遵守法律法規,2
6,聯合國環境規劃署(UNEP)，將永續金融劃分為環境、社會、經濟與治理，其中環境面向不包含下列 哪一項？,數位金融,低碳金融,氣候金融,綠色金融,1
7,以下何者不是聯合國推動永續發展目標 SDGs 的主要考量？,加強執行手段，塑造全球霸權,在全世界消除一切形式的貧困,確保永續的消費和生產模式,為所有人提供水資源衛生及進行永續管理,1
8,聯合國政府間氣候變遷專門委員會(IPCC)目前已發布幾次評估報告(Assessment Report)？,3 次,4 次,5 次,6 次,4
9,"聯合國政府間氣候變遷專門委員會(Intergovernmental Panel on Climate Change, IPCC)隸屬於哪一個組織？",世界銀行(World Bank),聯合國(United Nation),國際再生能源總署(IRENA),國際能源總署(IEA),2
10,企業永續報告指令(CSRD)分四個階段生效，不同類別的公司有其遵守報告要求的時間；第一批已適 用 NFRD 的大型且涉及「公眾利益」的企業，將從何時開始揭露，並在 2025 年發布報告？,2023 年 12 月 31 日,2024 年 1 月 1 日,2024 年 12 月 31 日,2025 年 1 月 1 日,2
11,歐盟的碳價除受政策干預外，係根據下列何者利用「污染者付費」的做法激勵企業從事減碳？,碳排放量,碳抵消的排放量,碳洩漏的排放量,碳權憑證的供需,4
12,上市上櫃公司永續發展實務守則中，為健全永續發展之管理，下列哪一項不包含在內？,僅限於環境保護措施,設置推動永續發展之專（兼）職單位,定期向董事會報告,訂定合理之薪資報酬政策,1
13,以下何者是綠色金融行動方案 3.0 的核心策略？,協力合作深化永續發展及達成淨零目標,揭露碳排資訊，從投融資推動整體產業減碳,整合資料及數據以強化氣候韌性與因應風險之能力,以上皆是,4
14,歐盟委員會(European Commission)首次為非財務資料之共同報告所定義的框架為下列何者？,歐洲永續性報告標準(ESRS),企業永續報告指令(CSRD),監管技術標準(RTS),歐盟永續分類標準(EU Taxonomy),2
15,我國推動上市櫃公司永續發展行動方案，強化利害關係人溝通，2024 年起將依資本額規模分階段推動， 上市櫃公司應於股東會幾日前上傳議事手冊、幾日前上傳年報？,20 日，15 日,30 日，15 日,20 日，14 日,30 日，14 日,4
16,「氣候變遷因應法」關於推動碳交易之敘述，下列何者為非？,鼓勵企業採行自願減量給予減量額度,將取得減量額度的資訊公開、移轉、交易或拍賣給有減量責任或需求者,由民營公司建置交易平台,期望以減碳績效有價化，帶動企業加速淨零轉型,3
17,有關歐盟永續分類標準(EU Taxonomy)之敘述，下列何者正確？,其規範確定一家企業是否符合環境永續性(environmentally sustainable)的標準，以確定投資在環境永 續的程度,其主要目的將資金引導至有助於企業獲利的經濟活動,歐盟提及各經濟活動必須對六大環境目標中至少二項有重大貢獻，才能算是永續發展活動,歐洲議會強調在有限度的情況及嚴格條件下，天然氣與核能是不可或缺的過渡能源(energy transition)，因而被納入永續分類中,4
18,聯合國永續發展目標 SDGs 目標 5：落實性別平等、婦女平權，下列哪一個不屬於目標重點內容？,消除一切形式的暴力和歧視,推動性別平等的政策及法令，並確保能有效執行,確保弱勢族群的社會保障,確保婦幼性生殖健康權益，例如性教育、避孕措施、安全的墮胎服務,3
19,2023 年 4 月 12 日，歐洲監管機構(ESAs)聯合發布《有關主要不利影響(PAIs)和金融產品揭露的 SFDR 委託法規審查》之諮詢文件，諮詢文件提議之內容為何？,建構有關永續經濟活動的共同分類系統，以供利害相關人(Stakeholder)共同遵循,對 SFDR 層次 2 (level 2)有關主要不利影響(PAIs)和揭露的監管技術標準(RTS)提出重大改變的建議,規範確定經濟活動是否符合環境永續性的標準，以確定投資在環境永續的程度,建立篩選標準以判別經濟活動是否能夠協助歐盟達成低碳、有韌性，以及資源效率高的未來經濟型態,2
20,有關企業永續報告指令(CSRD)主要規範的適用對象，下列敘述何者不正確？,所有在歐盟的「上市公司」及「大型公司」,亦包含涉及「公眾利益」的公司,外國企業不在監管之列,微型企業除外,3
21,我國推動綠色金融行動方案 3.0，三大核心策略包含下列哪一項？,協力合作深化永續發展及達成淨零目標,整合資料及數據以強化氣候韌性與因應風險之能力,揭露碳排資訊，從投融資推動整體產業減碳,以上皆是,4
22,有關《氣候變遷綱要公約》(UNFCCC)的敘述，下列何者正確？,該公約對個別締約國規定具體需承擔的義務,該公約具有法律上的約束力,該公約並未規定可在後續從屬的議定書中設定強制碳排放限制,各國與會代表會在各年度的會議中，達成相關的決議內容，成為研究國際氣候變遷治理機制之重要 依據,4
23,根據《氣候變遷綱要公約》從 1995 年至 2023 年為止，每年都會召開聯合國氣候變遷大會，請問公約 對個別締約國的約束力為何？,規定具體需承擔的義務,規定實施機制,有法律上的約束力,可規定在後續從屬的議定書中設定規範或限制,4
24,歐洲財務報導諮詢小組(EFRAG)在哪個報告中提出 54 項提案，做為歐盟執行委員會要求 EFRAG 研擬 修訂版 NFRD 中可能的非財務報導準則？,歐洲永續發展報告準則(ESRS),歐盟永續分類標準(EU Taxonomy),監管技術標準(RTS),發展一套完整的歐盟永續報導準則之路徑圖,4
25,為增進 ESG 基金商品資訊揭露，集保公司擬於何處建置境外 ESG 基金專區並優化投信 ESG 基金專區？,公開資訊觀測站,證交所網站,基金觀測站,集保平台,3
26,氣候相關財務揭露工作小組(TCFD)對於四項核心要素當中的指標和目標，哪一個描述正確？,是指組織如何鑑別、評估和管理氣候相關風險,是指組織業務、策略和財務規劃，揭露實際及潛在與氣候相關的衝擊,是指組織與氣候相關風險與機會的治理情況,是指針對重大性的資訊，揭露用於評估和管理氣候相關議題的指標和目標,4
27,下列哪一個永續資訊框架，有明確的產業指引，讓企業依循明確的 ESG 議題範圍進行揭露？,SASB,IFRS S1,TCFD,GRI,1
28,在臺灣，會計師依據以下哪一號準則規範，進行永續報告書標的資訊之確信工作？,審計準則 220 號「查核歷史性財務資訊之品質管制」,確信準則 3000 號「非屬歷史性財務資訊查核或核閱之確信案件」,確信準則 3410 號「溫室氣體聲明之確信案件」,審計準則 720 號「其他資訊之閱讀與考量」,2或3
29,氣候相關財務揭露工作小組(TCFD)，是由哪一個組織召集？,金融穩定委員會(FSB),聯合國(UN),永續會計準則委員會(SASB),國際永續準則委員會(ISSB),1
30,氣候相關財務揭露工作小組(TCFD)對於四項核心要素當中的治理，哪一個描述正確？,是指組織如何鑑別、評估和管理氣候相關風險,是指組織業務、策略和財務規劃，揭露實際及潛在與氣候相關的衝擊,是指組織與氣候相關風險與機會的治理情況,是指針對重大性的資訊，揭露用於評估和管理氣候相關議題的指標和目標,3
31,國際永續準則理事會(ISSB)，於 2023 年中正式發布永續揭露準則第 S1 號，下列描述何者正確？,又稱為「氣候相關揭露」,揭露建議並非以投資人的觀點來設計,對重大永續相關風險及機會提供揭露指引，並未要求明確揭露公司永續及財務資訊間的關聯,參酌現有永續相關框架制定，包含治理、策略、風險管理及指標與目標等四大構面,4
32,氣候變遷可能對組織造成財務衝擊，如損害資產或供應鏈中斷等影響，包含颱風、龍捲風、洪水等極 端氣候事件。氣候相關財務揭露工作小組(TCFD)建議當中，上面的描述被歸類在實體風險當中的哪 一種風險？,立即性風險(Acute Risk),市場風險(Market Risk),長期性風險(Chronic Risk),技術風險(Technology Risk),1
33,依現行「永續報告書作業辦法」須編製與申報中文永續報告書的金融保險業公司，哪一項描述最正確？,資本額達新台幣 100 億元以上,資本額達新台幣 50 億元以上,資本額達新台幣 20 億元以上,不分資本額的上市櫃公司,4
34,「永續報告書作業辦法」規範企業未納入盤查計算之營運據點或子公司占總排放量之比重上限為 5% 的原因？,可靠性,可比性,一致性,完整性,4
35,根據「保險業氣候相關風險財務揭露指引」，保險業氣候相關風險之風險管理機制包括下列何者？,風險管理及監控,情境分析及壓力測試,投資管理,以上皆是,4
36,下列何者是指國際財務報導準則基金會？,TCFD,IFRS,SASB,IASB,2
37,最早適用我國 IFRS 永續揭露準則的上市櫃公司，哪一項敘述正確？,資本額達 100 億元以上,資本額達 80 億元以上,資本額達 50 億元以上,資本額達 20 億元以上,1
38,下列哪一個永續資訊框架，參考了 TCFD 的框架，也參考了 SASB 的特定行業指引，讓企業能有更明 確的指引將永續相關風險與機會呈現於財務報告上？,IASB,TNFD,CDP,IFRS S1/S2,4
39,「編製與申報永續報告書作業辦法」規範企業得自願揭露溫室氣體排放的範疇為何？,範疇一,範疇二,範疇三,範疇一、二、三,3
40,溫室氣體盤查主要依循的四個步驟，正確順序為何？ 甲.決定排放量計算方式；乙.選擇合適的排放 係數；丙.蒐集活動數據；丁.計算溫室氣體排放量,丁、丙、乙、甲,甲、丙、乙、丁,丙、乙、甲、丁,乙、甲、丙、丁,2
41,根據「本國銀行氣候風險財務揭露指引」，下列何者為銀行對於氣候風險高之業務或交易應報經核定 之單位，並留存相關紀錄備查？,股東會,董事會,總經理,高階管理階層,4
42,永續會計準則委員會(SASB)2018 年 11 月公布 5 大永續面向，哪一個不包含在內？,商業模式與創新(Business Model & Innovation),人力資本(Human Capital),社會資本(Social Capital),自然資本(Natural Capital),4
43,氣候相關財務揭露工作小組(TCFD)對於主要財務影響分類的指引，針對企業資產負債表當中的資本和 融資的揭露建議，下列何者正確？,氣候相關風險與機會可能導致組織債務期限延長,氣候相關風險與機會可能會讓組織透過增加負債規模來補償減少的營運現金流、新的資本支出或研 發資金，以改變組織的負債和股權結構,氣候相關風險與機會目前還不會影響組織資本、營運損失準備金等,氣候相關風險與機會不會影響組織籌集新債或是對現有債務再融資的能力,2
44,SASB 準則五大面向當中的環境(Environment)提及生態衝擊(Ecological Impacts)議題，下列何者描述不 正確？,此議題涵蓋氣候變化氣候變遷對生態系統和生物多樣性的影響,此議題涉及公司通過活動對生態系統和生物多樣性的影響的管理,影響包括但不限於規劃、土地徵用、許可、開發、運營和場地修復等各個階段的生物多樣性喪失、 棲息地破壞和森林砍伐,包括但不限於勘探用地、自然資源開採和種植，以及項目開發、建設和選址,1
45,下列何者不屬於 GRI 允許的省略理由之一？,不適用,無行業準則,法律禁令,保密規定限制,2
46,「編製與申報永續報告書作業辦法」規定揭露哪一個單位監督及治理氣候相關資訊？,每一個員工,永續委員會/ESG 委員會,永續委員會/ESG 委員會轄下之各小組領導,董事會與管理階層,4
